"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"691",2.99161289918184e-65,0.294185343198322,0.644,0.588,7.29744134497425e-61,"4","N4BP2L2"
"692",2.28415898259019e-72,0.292335759135399,0.713,0.655,5.57174900623226e-68,"4","KMT2A"
"693",6.01248393891255e-47,0.289324462295593,0.404,0.323,1.46662520721894e-42,"4","SUCO"
"694",1.27207018677975e-68,0.287126973025936,0.814,0.811,3.10296080661185e-64,"4","RBM39"
"695",3.29894907405882e-81,0.284029302135007,0.368,0.244,8.04712647635168e-77,"4","KDM4B"
"696",3.98835279341545e-59,0.282309659622141,0.7,0.683,9.7287889689783e-55,"4","GUK1"
"697",9.36403647425097e-43,0.280114906859211,0.651,0.624,2.28416941716404e-38,"4","EIF5"
"698",3.29308504032939e-86,0.279760343612251,0.28,0.163,8.03282233887549e-82,"4","CARS"
"699",1.27789695581109e-54,0.278129531237466,0.535,0.451,3.11717404430999e-50,"4","SLC38A1"
"700",2.24976844062475e-45,0.277943892362261,0.566,0.523,5.48786015721597e-41,"4","ARF1"
"701",6.35486807753089e-51,0.277671951967785,0.473,0.385,1.55014297015211e-46,"4","TET1"
"702",1.07278644948579e-168,0.275253247193938,0.248,0.099,2.61684798623068e-164,"4","MIR210HG"
"703",0,0.273884511290485,0.16,0.025,0,"4","HIF1A-AS2"
"704",1.38854722358968e-52,0.273297379698302,0.439,0.347,3.3870832425023e-48,"4","IRF2BP2"
"705",3.40494207616705e-42,0.273033422228656,0.567,0.525,8.3056752063943e-38,"4","NKTR"
"706",4.39082891059789e-103,0.272110246311805,0.254,0.13,1.07105489616214e-98,"4","MTHFD2"
"707",7.09739344101416e-37,0.271776811066703,0.546,0.51,1.73126718206658e-32,"4","CEBPZ"
"708",1.41039578830215e-51,0.264773778381597,0.524,0.446,3.44037844640544e-47,"4","OGA"
"709",2.5723654931365e-73,0.262863361996037,0.295,0.182,6.27477114740786e-69,"4","CREBRF"
"710",7.10139588311421e-68,0.261436592408716,0.999,0.996,1.73224349776805e-63,"4","RPS13"
"711",3.06768865573666e-64,0.261192470112177,0.363,0.251,7.48301293793844e-60,"4","BEND5"
"712",3.42803620520119e-150,0.2581781707865,0.248,0.104,8.36200871534727e-146,"4","ALDOC"
"713",2.19508934093209e-34,0.256420330927292,0.602,0.581,5.35448142933565e-30,"4","CAMLG"
"714",5.48642841929866e-113,0.254986207945284,0.26,0.13,1.33830448431952e-108,"4","RCOR2"
"715",7.97970764178973e-97,0.254005193443829,0.276,0.15,1.94649008506177e-92,"4","FAM216A"
"716",9.34706993135752e-19,0.251277295542501,0.398,0.366,2.28003076835604e-14,"4","TARS"
"717",1.76012247307265e-25,0.251087251779458,0.466,0.429,4.29346674856611e-21,"4","TRA2A"
"718",6.14963968095701e-44,0.250894875117982,0.388,0.301,1.50008160737584e-39,"4","ATL1"
"719",5.54490329653032e-67,0.249829119633613,0.796,0.756,1.35256826112264e-62,"4","RTN3"
