"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"91",2.82448894599791e-295,0.37054436828457,0.476,0.291,6.88977588597271e-291,"0","MEIS3"
"92",0,0.367244210355494,0.438,0.231,0,"0","ARX"
"93",2.33722020242893e-257,0.364365076246617,0.648,0.489,5.70118123978489e-253,"0","GNAQ"
"94",0,0.363292864428694,0.916,0.833,0,"0","ATRX"
"95",0,0.363193739705351,1,0.999,0,"0","TMSB10"
"96",8.74171599824958e-251,0.361982335024733,0.71,0.564,2.13236678345302e-246,"0","TOP2B"
"97",0,0.361924979547533,0.493,0.267,0,"0","GDAP1L1"
"98",6.97246219330707e-268,0.361246181141327,0.656,0.489,1.70079270281339e-263,"0","DBN1"
"99",8.87467775958976e-249,0.353288264312387,0.586,0.414,2.16480014589673e-244,"0","TNRC6C"
"100",1.94252013552427e-292,0.352327147537272,0.807,0.656,4.73838936658434e-288,"0","RERE"
"101",0,0.347504140694053,0.938,0.881,0,"0","GTF2I"
"102",0,0.344825188861282,0.994,0.956,0,"0","TTC3"
"103",2.41985727218361e-283,0.343349726217488,1,0.999,5.90275784403748e-279,"0","ACTG1"
"104",0,0.34231569084621,0.328,0.145,0,"0","PTPRO"
"105",0,0.340889035986435,0.96,0.926,0,"0","COX7A2"
"106",2.3407840362838e-281,0.338808910858211,0.439,0.252,5.70987449970707e-277,"0","CAMK4"
"107",1.01329930533563e-253,0.338374118790336,0.806,0.693,2.4717409955052e-249,"0","HDAC2"
"108",4.45402990154263e-288,0.336154776069211,0.46,0.273,1.08647151388329e-283,"0","ABRACL"
"109",7.53935427319503e-226,0.333807832968388,0.62,0.465,1.83907468786046e-221,"0","TDG"
"110",1.38028541056924e-239,0.331720736836654,0.618,0.451,3.36693020200156e-235,"0","GSTA4"
"111",4.4827859976809e-226,0.33109380229289,0.682,0.544,1.0934859884143e-221,"0","ATXN7L3B"
"112",2.70870220968947e-154,0.329080851244609,0.339,0.215,6.60733730009553e-150,"0","FGF13"
"113",1.84501068201917e-250,0.328938964861495,0.636,0.447,4.50053455664936e-246,"0","NAV1"
"114",3.51449117492926e-217,0.327574164963222,0.646,0.493,8.57289832300496e-213,"0","MEX3A"
"115",0,0.327266206091455,0.618,0.381,0,"0","NSG1"
"116",0,0.324775747074381,0.354,0.153,0,"0","SCRT2"
"117",2.80184850774925e-205,0.322227866112892,0.681,0.551,6.83454906495274e-201,"0","DDX6"
"118",1.87557670587835e-287,0.321670283300465,0.794,0.582,4.57509425864905e-283,"0","RBFOX2"
"119",8.79586138472686e-242,0.321236672922959,0.716,0.552,2.14557446757642e-237,"0","KLC1"
"120",2.27555159048922e-206,0.320603349204162,0.799,0.709,5.55075299468035e-202,"0","RSF1"
"121",0,0.320160835004148,0.244,0.059,0,"0","TMEFF2"
"122",0,0.317230805144865,0.564,0.327,0,"0","GAD2"
"123",1.61417818236195e-237,0.316956702099584,0.43,0.265,3.93746484023552e-233,"0","KLF12"
"124",5.41193495262081e-211,0.316615416295934,0.866,0.802,1.32013329299279e-206,"0","TCEAL4"
"125",0,0.31624190887363,0.218,0.045,0,"0","ERBB4"
"126",0,0.312419634459051,0.998,0.966,0,"0","TUBB"
"127",0,0.310172099171703,0.981,0.914,0,"0","DPYSL2"
"128",1.49182057090175e-217,0.309163050190108,0.549,0.387,3.63899791860064e-213,"0","DLGAP4"
"129",0,0.308661216378256,0.303,0.128,0,"0","SP8"
"130",0,0.308275755100478,0.991,0.951,0,"0","PTMS"
"131",0,0.307100373013829,0.237,0.088,0,"0","PCDH11X"
"132",2.54858873636264e-215,0.306247786890413,0.352,0.204,6.21677250460939e-211,"0","SLC4A8"
"133",1.84446595381498e-188,0.305633842526652,0.724,0.604,4.49920580114089e-184,"0","PHF14"
"134",0,0.305134344113374,0.982,0.963,0,"0","SUMO2"
"135",1.41339577727202e-195,0.304813898434825,0.765,0.665,3.44769631949964e-191,"0","DNAJB6"
"136",1.63629771020557e-254,0.304354112441133,0.894,0.823,3.99142100450445e-250,"0","YWHAQ"
"137",0,0.304192485298689,0.984,0.957,0,"0","SET"
"138",5.5276923722885e-166,0.302746845663882,0.484,0.345,1.34837000037233e-161,"0","NRIP1"
"139",1.01397749845274e-257,0.302146880915558,0.999,0.99,2.47339531197578e-253,"0","MT-ND1"
"140",4.8147051387783e-214,0.301569696219739,0.611,0.44,1.17445102450219e-209,"0","CHD3"
"141",0,0.298362232814392,0.194,0.031,0,"0","KCNJ3"
"142",3.3456284684372e-218,0.298232910840194,0.551,0.377,8.16099152305885e-214,"0","ATCAY"
"143",0,0.297817231374274,0.999,0.994,0,"0","ATP5F1E"
"144",3.82725028343624e-260,0.294558724732102,0.488,0.294,9.33581161638601e-256,"0","PAK5"
"145",2.47937010781295e-217,0.294382997061332,0.382,0.226,6.04792750398812e-213,"0","ELOVL6"
"146",9.35079608267881e-190,0.294247804826871,0.316,0.181,2.28093968844784e-185,"0","SIPA1L1"
"147",8.24948882632308e-179,0.293633255202528,0.692,0.574,2.01229780940499e-174,"0","RPAIN"
"148",6.38340869069644e-192,0.293506345170593,0.301,0.167,1.55710488192158e-187,"0","SNCA"
"149",4.52274718583883e-192,0.292444669295304,0.719,0.585,1.10323372104167e-187,"0","RUFY3"
"150",8.30654442027734e-279,0.291949677141411,0.337,0.169,2.02621538043825e-274,"0","CITED2"
"151",0,2.37390467759743,0.908,0.494,0,"1","FABP7"
"152",0,1.97537221724377,0.916,0.455,0,"1","PTPRZ1"
"153",0,1.87342194710093,0.838,0.35,0,"1","SFRP1"
"154",0,1.69139792355306,0.971,0.807,0,"1","VIM"
"155",0,1.56441564272159,0.852,0.542,0,"1","PTN"
"156",0,1.32509738493253,0.739,0.559,0,"1","BNIP3"
"157",0,1.11916130461012,0.5,0.116,0,"1","HOPX"
"158",0,1.11574831429935,0.638,0.176,0,"1","SLC1A3"
"159",0,1.06716270302356,0.991,0.89,0,"1","CKB"
"160",0,1.04792187695686,0.593,0.18,0,"1","HES1"
"161",0,1.03115586823365,0.731,0.389,0,"1","PEA15"
"162",0,1.02653867662729,0.934,0.797,0,"1","ENO1"
"163",0,1.02432360522379,0.803,0.494,0,"1","CCND2"
"164",0,1.0162393511803,0.986,0.752,0,"1","C1orf61"
"165",0,0.99296249325262,0.877,0.492,0,"1","RPS27L"
"166",0,0.964876316541081,0.566,0.308,0,"1","SAT1"
"167",0,0.94114943019586,0.673,0.271,0,"1","METRN"
"168",0,0.935334490755868,0.543,0.243,0,"1","MT3"
"169",0,0.92133178251665,0.68,0.264,0,"1","CLU"
"170",0,0.896566651396173,0.94,0.699,0,"1","SEPT11"
"171",0,0.878056567994018,0.49,0.224,0,"1","MT2A"
"172",0,0.842346186148831,0.825,0.358,0,"1","GNG5"
"173",0,0.825270785359789,0.994,0.982,0,"1","FTL"
"174",0,0.821546242346227,0.807,0.586,0,"1","GPM6B"
"175",1.53895040203644e-164,0.803869562928518,0.35,0.182,3.75396171568748e-160,"1","NPY"
"176",0,0.784558985692045,0.919,0.743,0,"1","TPI1"
"177",0,0.765526802964752,0.857,0.466,0,"1","SOX2"
"178",9.92359097037434e-199,0.752534557749273,0.224,0.084,2.42066154540341e-194,"1","MT1X"
"179",0,0.75179054556668,0.704,0.315,0,"1","HSPB1"
"180",0,0.736564279191823,0.692,0.333,0,"1","TTYH1"
"181",8.17108052759474e-297,0.721636240023989,0.812,0.674,1.99317167309618e-292,"1","FABP5"
"182",0,0.710951214611679,0.501,0.145,0,"1","CREB5"
"183",0,0.704696295086464,0.45,0.124,0,"1","STK17A"
"184",0,0.698924100243071,0.768,0.575,0,"1","DBI"
"185",2.8800221283761e-173,0.692625156124209,0.728,0.581,7.02523797774782e-169,"1","LDHA"
"186",0,0.688532860251633,0.932,0.701,0,"1","GSTP1"
"187",0,0.680117286011296,1,0.997,0,"1","GAPDH"
"188",0,0.661273915472697,0.756,0.478,0,"1","CNN3"
"189",0,0.65699609900813,0.568,0.207,0,"1","MYO10"
"190",0,0.647321532545309,0.708,0.407,0,"1","CARHSP1"
"191",6.85094298142413e-175,0.645186913958364,0.554,0.378,1.67115052145879e-170,"1","FAM162A"
"192",1.28290252514049e-39,0.644762944240222,0.169,0.105,3.12938412957519e-35,"1","CXCL14"
"193",0,0.641282305993687,0.486,0.177,0,"1","PSAT1"
"194",0,0.640882325146998,0.648,0.315,0,"1","SOX9"
"195",3.94467268968776e-146,0.639122330645646,0.794,0.687,9.62224009195535e-142,"1","PGK1"
"196",0,0.638130859088618,0.511,0.239,0,"1","CDK6"
"197",0,0.635882924631052,0.405,0.091,0,"1","FAM181B"
"198",0,0.632372076651464,0.506,0.156,0,"1","DOK5"
"199",0,0.632271234471276,0.778,0.505,0,"1","QKI"
"200",1.15758414727086e-273,0.629923912866429,0.985,0.974,2.82369501043781e-269,"1","CALM1"
"201",4.42473342501255e-183,0.620078784968838,0.548,0.362,1.07932522436331e-178,"1","P4HA1"
"202",0,0.608221052841487,0.493,0.156,0,"1","PON2"
"203",0,0.60282824742708,0.424,0.072,0,"1","LHX2"
"204",2.3224841192448e-83,0.602174060320029,0.745,0.663,5.66523551207384e-79,"1","MGST3"
"205",0,0.598909546029036,0.506,0.213,0,"1","PHGDH"
"206",2.42007381709615e-96,0.590150279132142,0.576,0.459,5.90328606204264e-92,"1","DDIT4"
"207",1.20013870845065e-171,0.588522640538744,0.453,0.274,2.92749835152367e-167,"1","HILPDA"
"208",8.12385526446941e-240,0.584962851416196,0.671,0.468,1.98165201466202e-235,"1","SCD"
"209",0,0.583303910155824,0.638,0.274,0,"1","NFIA"
"210",0,0.561725520448459,0.686,0.404,0,"1","SRI"
"211",0,0.55592457957907,0.45,0.141,0,"1","GLI3"
"212",3.66452275939497e-231,0.555378236333181,0.679,0.451,8.93887036699216e-227,"1","NTM"
"213",2.55956384793072e-280,0.55277775442166,0.945,0.908,6.24354409425741e-276,"1","SEPT7"
"214",0,0.551315843824553,0.521,0.235,0,"1","NFE2L2"
"215",0,0.547793557315481,0.999,0.999,0,"1","RPS19"
"216",4.59251046089068e-198,0.545907445321337,0.998,0.999,1.12025107672506e-193,"1","TMSB4X"
"217",3.45995474511483e-195,0.5429588580232,0.923,0.804,8.4398676097586e-191,"1","IGFBP2"
"218",0,0.540577386130955,0.5,0.193,0,"1","EZR"
"219",0,0.529922080313707,0.617,0.332,0,"1","DARS"
"220",0,0.528446571631896,0.417,0.128,0,"1","MOXD1"
"221",0,0.524521495282145,0.326,0.064,0,"1","LIX1"
"222",0,0.524517716512902,0.485,0.162,0,"1","RAB31"
"223",1.720577201844e-288,0.523486908316544,0.464,0.225,4.19700396845808e-284,"1","ID2"
"224",4.96573218032086e-196,0.520178515290543,0.365,0.189,1.21129105074567e-191,"1","SLC2A1"
"225",0,0.516567410751237,0.307,0.086,0,"1","RGS16"
"226",0,0.515653188522402,0.412,0.101,0,"1","SOX6"
"227",2.72732187152201e-136,0.514863293579853,0.536,0.377,6.65275624120364e-132,"1","VEGFA"
"228",1.08445633183946e-266,0.514113829594779,0.562,0.314,2.64531433025598e-262,"1","SPRY1"
"229",0,0.513072280796327,0.601,0.317,0,"1","MDK"
"230",1.49341654135358e-306,0.512566172674432,0.711,0.459,3.64289096932378e-302,"1","HMGN3"
"231",4.431582583082e-129,0.503705549395148,0.731,0.65,1.08099593949119e-124,"1","NASP"
